unique_key,mean_compound,max_compound,min_compound,mean_positive,max_positive,min_positive,mean_negative,max_negative,min_negative,mean_neutral,max_neutral,min_neutral
MA2022-04-08,0.16231666666666666,0.6486,-0.6597,0.054833333333333324,0.107,0.0,0.02266666666666667,0.136,0.0,0.9225,1.0,0.864
MA2022-04-09,0.296,0.296,0.296,0.064,0.064,0.064,0.0,0.0,0.0,0.936,0.936,0.936
MA2022-04-11,0.23228571428571426,0.8658,-0.128,0.07928571428571429,0.264,0.0,0.019142857142857145,0.086,0.0,0.9015714285714286,1.0,0.732
MA2022-04-12,-0.03422499999999998,0.5106,-0.5448,0.038,0.096,0.0,0.04825,0.127,0.0,0.9137500000000001,1.0,0.873
MA2022-04-13,0.03223333333333333,0.2732,-0.2023,0.08600000000000001,0.113,0.072,0.05933333333333333,0.107,0.0,0.8546666666666667,0.928,0.78
MA2022-04-14,0.14289999999999997,0.6808,-0.2263,0.046000000000000006,0.138,0.0,0.03233333333333333,0.066,0.0,0.9216666666666667,0.969,0.862
MA2022-04-15,-0.26155,0.4215,-0.684,0.02275,0.091,0.0,0.1005,0.21,0.0,0.87675,0.934,0.79
MCD2022-03-14,-0.0258,-0.0258,-0.0258,0.076,0.076,0.076,0.107,0.107,0.107,0.817,0.817,0.817
MCD2022-03-15,0.1531,0.1531,0.1531,0.138,0.138,0.138,0.148,0.148,0.148,0.714,0.714,0.714
MCD2022-03-17,-0.064,0.0,-0.128,0.0,0.0,0.0,0.0255,0.051,0.0,0.9744999999999999,1.0,0.949
MCD2022-03-18,-0.24765,0.1027,-0.5994,0.02825,0.071,0.0,0.0775,0.145,0.0,0.89425,0.958,0.855
MCD2022-03-21,-0.023399999999999976,0.5106,-0.5574,0.044,0.088,0.0,0.0645,0.129,0.0,0.8915,0.912,0.871
MCD2022-03-22,0.316125,0.4215,0.0,0.058499999999999996,0.08,0.0,0.0,0.0,0.0,0.9415,1.0,0.92
MCD2022-03-23,0.17621666666666666,0.8442,-0.5423,0.08883333333333333,0.216,0.0,0.043833333333333335,0.179,0.0,0.8673333333333333,1.0,0.746
MCD2022-03-24,0.20131666666666667,0.5719,0.0,0.042166666666666665,0.096,0.0,0.011000000000000001,0.066,0.0,0.9468333333333333,1.0,0.838
MCD2022-03-25,0.149,0.6597,-0.4854,0.08922222222222222,0.166,0.0,0.04633333333333333,0.212,0.0,0.8644444444444445,1.0,0.622
MCD2022-03-26,-0.12340000000000001,0.5606,-0.8074,0.0675,0.135,0.0,0.1185,0.186,0.051,0.814,0.814,0.814
MCD2022-03-27,0.1909,0.3818,0.0,0.06,0.12,0.0,0.0275,0.055,0.0,0.9125,1.0,0.825
MCD2022-03-28,0.2683333333333333,0.4019,0.1531,0.061,0.078,0.044,0.0,0.0,0.0,0.9390000000000001,0.956,0.922
MCD2022-03-29,0.11441666666666667,0.5859,-0.4404,0.08683333333333333,0.163,0.0,0.065,0.139,0.0,0.8481666666666667,0.937,0.785
MCD2022-03-30,0.3825,0.765,0.0,0.1075,0.215,0.0,0.02,0.04,0.0,0.8725,1.0,0.745
MCD2022-03-31,-0.20646666666666666,0.296,-0.4939,0.082,0.106,0.066,0.11033333333333332,0.174,0.0,0.8076666666666666,0.934,0.72
MCD2022-04-01,0.05986666666666667,0.1796,0.0,0.025666666666666667,0.077,0.0,0.018666666666666668,0.056,0.0,0.9556666666666667,1.0,0.867
MCD2022-04-02,0.296,0.296,0.296,0.062,0.062,0.062,0.0,0.0,0.0,0.937,0.937,0.937
MCD2022-04-03,-0.4621,0.0,-0.6597,0.0,0.0,0.0,0.1762857142857143,0.242,0.0,0.8237142857142857,1.0,0.758
MCD2022-04-04,0.3552666666666666,0.5719,0.0,0.064,0.104,0.0,0.0,0.0,0.0,0.9359999999999999,1.0,0.896
MCD2022-04-05,0.030049999999999993,0.3818,-0.4939,0.036833333333333336,0.081,0.0,0.03266666666666667,0.11,0.0,0.9305,1.0,0.809
MCD2022-04-06,0.024466666666666668,0.4019,-0.6597,0.0515,0.175,0.0,0.04083333333333333,0.137,0.0,0.9078333333333334,1.0,0.718
MCD2022-04-07,0.3028333333333333,0.5267,0.0,0.07066666666666667,0.132,0.0,0.0,0.0,0.0,0.9293333333333335,1.0,0.868
MCD2022-04-11,-0.0193,0.0,-0.0772,0.016,0.064,0.0,0.01775,0.071,0.0,0.96625,1.0,0.865
MCD2022-04-12,0.1591,0.3182,0.0,0.031,0.062,0.0,0.0,0.0,0.0,0.969,1.0,0.938
MCD2022-04-13,-0.14049999999999999,0.0,-0.4215,0.02,0.06,0.0,0.04666666666666667,0.14,0.0,0.9333333333333332,1.0,0.8
MCD2022-04-14,0.72655,0.8957,0.5574,0.192,0.276,0.108,0.0,0.0,0.0,0.808,0.892,0.724
MCD2022-04-15,0.8439,0.8439,0.8439,0.252,0.252,0.252,0.0,0.0,0.0,0.748,0.748,0.748
MRK2022-03-14,0.5719,0.5719,0.5719,0.163,0.163,0.163,0.047,0.047,0.047,0.79,0.79,0.79
MRK2022-03-15,0.014742857142857137,0.3818,-0.4767,0.047428571428571424,0.178,0.0,0.030714285714285715,0.091,0.0,0.9218571428571429,1.0,0.822
MRK2022-03-16,0.45671999999999996,0.7506,0.0,0.1406,0.216,0.0,0.0264,0.066,0.0,0.8333999999999999,1.0,0.719
MRK2022-03-17,0.2917,0.7096,-0.3818,0.12014285714285713,0.214,0.0,0.04814285714285715,0.125,0.0,0.8317142857142857,1.0,0.742
MRK2022-03-18,-0.03816666666666666,0.4767,-0.3412,0.035666666666666666,0.107,0.0,0.046000000000000006,0.082,0.0,0.9183333333333333,0.944,0.893
MRK2022-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MRK2022-03-21,0.573,0.765,0.2732,0.16,0.229,0.084,0.0,0.0,0.0,0.84,0.916,0.771
MRK2022-03-22,0.4977,0.968,0.0,0.17075,0.466,0.0,0.0,0.0,0.0,0.82925,1.0,0.534
MRK2022-03-23,0.008519999999999995,0.4215,-0.6597,0.0316,0.083,0.0,0.037,0.132,0.0,0.9314,1.0,0.868
MRK2022-03-24,-0.04463333333333334,0.4588,-0.5927,0.034999999999999996,0.105,0.0,0.044000000000000004,0.132,0.0,0.9209999999999999,1.0,0.868
MRK2022-03-25,0.01801999999999999,0.4215,-0.6249,0.0464,0.091,0.0,0.0448,0.159,0.0,0.9088,1.0,0.841
MRK2022-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MRK2022-03-29,0.208625,0.8225,-0.6249,0.09975,0.276,0.0,0.0475,0.124,0.0,0.853,1.0,0.659
MRK2022-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MRK2022-03-31,0.24036,0.4588,0.0,0.057999999999999996,0.127,0.0,0.013000000000000001,0.065,0.0,0.9288000000000001,1.0,0.807
