unique_key,sma,ema,mom,adx,natr,linreg,httrend,rsi,typprice,mfi,adosc,domcycle,dom_cyc_phs
T2021-05-12,,,,,,,0,,23.661937713623047,,-1657202766.3899956,,
T2021-05-13,,,,,,,0,,23.662787755330402,,-1569180097.6093273,,
T2021-05-14,,,,,,,0,,23.861155827840168,,-1519147397.6306343,,
T2021-05-17,,,,,,,0,,23.745413462320965,,-1544610620.1819324,,
T2021-05-18,,,,,,,0,,21.75046984354655,,-1778807350.4411736,,
T2021-05-19,,,,,,,0,,21.350387573242188,,-2112285698.9746056,,
T2021-05-20,,,,,,,0,,21.701065063476562,,-2206851031.0788517,,
T2021-05-21,,,,,,,0,,22.16288948059082,,-2395351318.683956,,
T2021-05-24,,,,,,,0,,22.049096425374348,,-2465110875.2361145,,
T2021-05-25,,,,,,,0,,21.76609929402669,,-2460145253.845579,,
T2021-05-26,,,,,,,0,,21.783199310302734,,-2449466023.789572,,
T2021-05-27,,,,,,,0,,21.933984120686848,,-2474796352.1523476,,
T2021-05-28,,,,,,,0,,21.770186106363933,,-2478126824.6349373,,
T2021-06-01,,,,,,,0,,21.66132926940918,,-2477591652.80756,15.646696015449795,
T2021-06-02,,,,,,,0,,21.739352544148762,,-2378540191.7314568,17.030605669815486,
T2021-06-03,,,,,,,0,,21.642758051554363,,-2343195199.3170967,18.26447958592802,
T2021-06-04,,,,,,,0,,21.59422556559245,,-2503829194.4376144,19.29775068444339,
T2021-06-07,,,,,,,0,,21.501869201660156,,-2525285467.244915,20.132256773322432,
T2021-06-08,,,,,,,0,,21.334932963053387,,-2625647017.159588,20.804830704428277,
T2021-06-09,,,,,,,0,,21.414973576863606,,-2594622615.11887,21.345505967737523,
T2021-06-10,,,,,,,0,,21.512713114420574,,-2546657708.768711,21.77928240105833,
T2021-06-11,,,,,,,0,,21.593353271484375,,-2527850234.237732,22.1288389258319,
T2021-06-14,,,,,,,0,,21.479036331176758,,-2436800048.0246925,22.415581545106416,
T2021-06-15,,,,,,,0,,21.548733393351238,,-2340982344.0355453,22.65906911020954,
T2021-06-16,,,,,,,0,,21.494665145874023,,-2243984809.212269,22.84265540545452,
T2021-06-17,,,,,,,0,,21.301355361938477,,-2149454000.5563087,22.972879018035748,
T2021-06-18,,,,,,,0,,21.10906728108724,,-2211370327.8051147,23.178033608528118,
T2021-06-21,,,,,,,0,,21.285452524820965,,-2226208070.8067284,23.629900041047648,
T2021-06-22,,,,,,,0,,21.28806749979655,,-2271024547.608551,24.139844681419227,
T2021-06-23,,,,,,,0,,21.204736709594727,,-2234204329.2687187,24.40703918586242,
T2021-06-24,,,,,,,0,,21.20984713236491,,-2269628559.421261,24.360949084819993,
T2021-06-25,,,,,,,0,,21.27356211344401,,-2233552183.0106277,24.216513304099934,
T2021-06-28,,,,,,,0,,21.260374069213867,,-2307354273.1319275,24.1384099244775,
T2021-06-29,,,,,,,0,,21.23980967203776,,-2279068363.670952,23.733319067048342,
T2021-06-30,,,,,,,0,,21.222609837849934,,-2320571749.870571,22.962909621006013,
T2021-07-01,,,,,,,0,,21.44344139099121,,-2246845576.379051,22.050494151056526,
T2021-07-02,,,,,,,0,,21.56471125284831,,-2207628619.05912,21.22280624689493,
T2021-07-06,,,,,,,0,,21.4727045694987,,-2180811638.4580765,20.620946992851657,
T2021-07-07,,,,,,,0,,21.36349868774414,,-2246467344.820572,20.200728213022053,
T2021-07-08,,,,,,,0,,20.938528060913086,,-2252402681.2660522,19.839005851835893,
T2021-07-09,,,,,,,0,,21.08351707458496,,-2186861412.8970947,19.56618560495604,
T2021-07-12,,,,,,,0,,21.098228454589844,,-2052664241.2123566,19.506679476905973,
T2021-07-13,,,,,,,0,,21.055672963460285,,-1910627218.2823944,19.725053358555545,
T2021-07-14,,,,,,,0,,20.972723642985027,,-1877636770.6141815,19.936335345546304,
T2021-07-15,,,,,,,1,,21.061121622721355,,-1805167595.81855,19.93998434378767,104.7360633607528
T2021-07-16,,,,,,,1,,21.09503428141276,,-1718764914.605751,19.971225855444963,106.77505672952003
T2021-07-19,,,,,,,1,,20.654130935668945,,-1632123248.7222748,20.00464382892783,109.19700215661732
T2021-07-20,,,,,,,1,,20.715492884318035,,-1529157801.1091232,19.702227158154457,109.87456582585654
T2021-07-21,,,,,,,1,,20.793670654296875,,-1442209207.028244,19.115072293675492,235.97704640366007
T2021-07-22,,,,,,,0,,20.804812749226887,,-1351969180.7072144,18.49346528607566,274.24548477937276
T2021-07-23,,,,,,,0,,20.853322982788086,,-1323816362.4432907,18.08934145549423,285.82023664441556
T2021-07-26,,,,,,,0,,20.885658264160156,,-1381728104.718689,17.956087014029023,295.1727125762951
T2021-07-27,,,,,,,0,,20.897982915242512,,-1358084992.4691696,18.13615846809723,304.0522272713048
T2021-07-28,,,,,,,0,,20.819917678833008,,-1320101161.0329742,18.699873723708585,311.0664067657848
T2021-07-29,,,,,,,0,,20.98995081583659,,-1300299628.463234,19.037353947271683,-41.485790759610836
T2021-07-30,,,,,,,0,,20.894920349121094,,-1305270094.4377747,19.030321915738423,-34.759742422743614
T2021-08-02,,,,,,,0,,20.952036539713543,,-1275565782.584076,19.075198748329917,-21.99654580753588
T2021-08-03,,,,,,,0,,20.865385055541992,,-1244326644.5449982,19.30761315263464,-11.989572995525464
T2021-08-04,,,,,,,0,,20.72635269165039,,-1244048892.0893326,19.425771772966485,-3.427507244296521
T2021-08-05,,,,,,,0,,20.73272196451823,,-1302631102.7862396,19.230458707773046,9.635407371659426
T2021-08-06,,,,,,,0,,20.770222345987957,,-1370322610.467743,18.777513958580254,23.697839387001338
T2021-08-09,,,,,,,0,,20.69614092508952,,-1442146031.0520172,18.234573156616243,39.39859841514805
T2021-08-10,,,,,,,1,,20.77103042602539,,-1413099306.393959,17.706989130877794,39.643511796793675
T2021-08-11,,,,,,,1,,20.878368377685547,,-1396349327.6339798,17.16919239149365,46.7285394841431
T2021-08-12,,,,,,,1,,20.82733980814616,,-1353240736.4450684,16.61106286114532,32.776513766037134
T2021-08-13,,,,,,,1,,20.89056142171224,,-1313033990.991333,16.10996984097313,-20.157763551664743
T2021-08-16,,,,,,,1,,20.8954652150472,,-1255698158.5846863,15.661831781138153,-21.622764379590137
T2021-08-17,,,,,,,1,,20.895596822102863,,-1209880794.1796265,15.19135266084578,34.88436466768013
